ArticleTitle,Question,Answer,ArticleFile,ModelingAnswer,ModelingScore,SimilarityAnswer
Canada,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?",Quebec City,S08_set2_a8,Quebec City,0.9959032535552979,1.0
Romania,"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",the remains (the lower jaw) of the oldest modern human,S08_set2_a7,The remains (the lower jaw),0.3068198561668396,0.7907626032829285
Singapore,Where is the National Orchid Garden?,Singapore Botanic Gardens.,S08_set2_a2,Singapore,0.5949106216430664,0.5662115812301636
Singapore,What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.,S08_set2_a2,capital punishment,0.8741222023963928,0.6001960039138794
James_Watt,James Watt was born where?,"Greenock, a seaport on the Firth of Clyde",S09_set4_a2,London,0.9675575494766235,0.24233928322792053
Liechtenstein,When was the first factory opened?,1836,S08_set2_a1,1836,0.9520508646965027,1.0000001192092896
Ulysses_S._Grant,Who achieved international fame as the leading Union general in the American Civil War?,Grant,S08_set3_a5,Ulysses S. Grant  Ulysses S. Grant,0.7782688736915588,0.6120870113372803
Violin,How many strings does a violin usually have?,four,S09_set2_a2,four,0.664392352104187,1.0
Finland,What body of water lies to the south of Finland?,the Gulf of Finland,S08_set2_a4,Barents Sea harbour,0.5376578569412231,0.30804193019866943
Grover_Cleveland,When did he die?,June 24 1908,S08_set3_a6,March 18 1837   June 24 1908,0.7689919471740723,0.7356083989143372
turtle,What shape are the eggs of the larest species of turtle?,Spherical,S08_set1_a9,slightly soft and leathery,0.7991064786911011,0.21817168593406677
Abraham_Lincoln,When did the Gettysburg address argue that America was born?,1776,S08_set3_a4,"November 19, 1863",0.9771242141723633,0.3343854546546936
Canada,What is the largest country in the world?,"Canada is the second largest country in the world, after Russia, and largest on the continent.",S08_set2_a8,CanadaCanada,0.9471604228019714,0.4982088506221771
turtle,How do turtles reproduce?,They lay eggs,S08_set1_a9,lay eggs,0.05591669678688049,0.8770896792411804
Romania,"Sibiu, a large city in Transylvania, was chosen as European Capital of Culture in what year?",2007,S08_set2_a7,2007The,0.9962591528892517,0.8428173065185547
elephant,Why does the phrase 'elephants never forget' have no metaphorical meaning?,it refers literally to elephants supposedly having an excellent memory,S08_set1_a5,elephants supposedly having an excellent memory,0.4530804753303528,0.8340076804161072
otter,How do otters keep themselves warm without blubber?,A layer of air trapped in their fur.  ,S08_set1_a7,"traps a layer of air, and keeps them dry and warm under water",0.18760155141353607,0.5127446055412292
Singapore,Did Singapore's standard of living decrease since independence?,"No, the standard living was raised.",S08_set2_a2,progressively,0.2971336841583252,0.01670852303504944
Michael_Faraday,Who was the sponsor and mentor of Faraday?,John 'Mad Jack' Fuller,S09_set4_a7,John 'Mad Jack' Fuller,0.9864631295204163,1.0000001192092896
Egypt,What is the estimated population of Egypt?,More than 78 million.,S08_set2_a6,a couple of thousands,0.8887628316879272,0.663142204284668
Copenhagen,What transnational bridge was completed in 2000?,Oresund Bridge,S09_set3_a8,Oresund Bridge,0.9519926905632019,1.0000001192092896
otter,What is an otter's den called?,Holt,S08_set1_a7,holt,0.8934690356254578,1.0
Theodore_Roosevelt,What did Roosevelt do to improve his physical condition?,Roosevelt took up exercise,S08_set3_a7,dissolved forty monopolistic corporations,0.5063868761062622,0.05870592221617699
polar_bear,How heavy is a male polar bear?,300-600 kg (660-1320 lb),S08_set1_a4,300-600 kg (660-1320 lb),0.5019297003746033,1.0000001192092896
otter,Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America. ,S08_set1_a7,cold waters,0.41272300481796265,0.1865444928407669
Romania,"Who was the first gymnast to score a perfect ""ten""?",Nadia ComÄneci,S08_set2_a7,Nadia ComÄƒneci,0.9216616749763489,0.9531995058059692
Singapore,Who did Sir Thomas Stamford Raffles work for?,British East India Company,S08_set2_a2,Thomas Woolner,0.9867391586303711,0.11154509335756302
Millard_Fillmore,Who got Seward elected to the senate?,Weed,S08_set3_a3,Winfield Scott,0.6023401618003845,0.21247094869613647
Canada,European books and maps began referring to this region as Canada in what year?,1545,S08_set2_a8,1545,0.9658570289611816,0.9999999403953552
Romania,How many territories joined to form Romania?,2.,S08_set2_a7,42,0.5528299808502197,0.43235185742378235
